iso_code,continent,country,date,total_cases,total_deaths,population,death_rate_per_million,cases_per_million
ABW,North America,Aruba,12/8/2021,,,107195,0.00,0.00
AFG,Asia,Afghanistan,12/8/2021,157542,7317,39835428,183.68,3954.82
AGO,Africa,Angola,12/8/2021,65332,1735,33933611,51.13,1925.29
AIA,North America,Anguilla,12/8/2021,,,15125,0.00,0.00
ALB,Europe,Albania,12/8/2021,202641,3126,2872934,1088.09,70534.51
AND,Europe,Andorra,12/8/2021,18815,133,77354,1719.37,243232.41
ARE,Asia,United Arab Emirates,12/8/2021,742507,2149,9991083,215.09,74316.97
ARG,South America,Argentina,12/8/2021,5348123,116708,45605823,2559.06,117268.42
ARM,Asia,Armenia,12/8/2021,341468,7728,2968128,2603.66,115044.90
ATG,North America,Antigua and Barbuda,12/8/2021,4151,117,98728,1185.07,42044.81
AUS,Oceania,Australia,12/8/2021,223914,2082,25788217,80.73,8682.80
AUT,Europe,Austria,12/8/2021,1212999,12979,9043072,1435.24,134135.72
AZE,Asia,Azerbaijan,12/8/2021,599713,8019,10223344,784.38,58661.14
BDI,Africa,Burundi,12/8/2021,20523,38,12255429,3.10,1674.60
BEL,Europe,Belgium,12/8/2021,1898498,27416,11632334,2356.88,163208.69
BEN,Africa,Benin,12/8/2021,24863,161,12451031,12.93,1996.86
BFA,Africa,Burkina Faso,12/8/2021,16334,290,21497097,13.49,759.82
BGD,Asia,Bangladesh,12/8/2021,1578288,28016,166303494,168.46,9490.41
BGR,Europe,Bulgaria,12/8/2021,709537,29279,6896655,4245.39,102881.32
BHR,Asia,Bahrain,12/8/2021,277935,1394,1748295,797.35,158974.89
BHS,North America,Bahamas,12/8/2021,22846,705,396914,1776.20,57559.07
BIH,Europe,Bosnia and Herzegovina,12/8/2021,279820,12854,3263459,3938.77,85743.38
BLR,Europe,Belarus,12/8/2021,667893,5210,9442867,551.74,70729.90
BLZ,North America,Belize,12/8/2021,30930,585,404915,1444.75,76386.40
BOL,South America,Bolivia,12/8/2021,546155,19264,11832936,1628.00,46155.49
BRA,South America,Brazil,12/8/2021,22167781,616251,213993441,2879.77,103590.94
BRB,North America,Barbados,12/8/2021,26433,244,287708,848.08,91874.40
BRN,Asia,Brunei,12/8/2021,15244,98,441532,221.95,34525.24
BTN,Asia,Bhutan,12/8/2021,2642,3,779900,3.85,3387.61
BWA,Africa,Botswana,12/8/2021,195552,2420,2397240,1009.49,81573.81
CAF,Africa,Central African Republic,12/8/2021,11742,101,4919987,20.53,2386.59
CAN,North America,Canada,12/8/2021,1827339,29905,38067913,785.57,48002.08
CHE,Europe,Switzerland,12/8/2021,1090928,11684,8715494,1340.60,125171.10
CHL,South America,Chile,12/8/2021,1776599,38541,19212362,2006.05,92471.66
CHN,Asia,China,12/8/2021,99531,4636,1444216102,3.21,68.92
CIV,Africa,Cote d'Ivoire,12/8/2021,61857,706,27053629,26.10,2286.46
CMR,Africa,Cameroon,12/8/2021,107549,1823,27224262,66.96,3950.48
